Price,Area,Location,No._of_Bedrooms,Resale,LandscapedGardens,IndoorGames,Intercom,SportsFacility,ClubHouse,24X7Security,PowerBackup,CarParking,Gasconnection,AC,Wifi,Children'splayarea,LiftAvailable,Total_Amenities,Price_per_sqft,Amenity_Score,Bedroom_Density
10500000,1200,Sector 10 Dwarka,2,1,0,0,1,1,0,1,1,1,1,0,0,1,1,3,8750.0,0.21428571428571427,0.0016666666666666668
6000000,1000,Uttam Nagar,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,6000.0,0.0,0.003
15000000,1350,Other,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11111.111111111111,0.0,0.0014814814814814814
2500000,435,Uttam Nagar,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5747.126436781609,0.07142857142857142,0.004597701149425287
5800000,900,Dwarka Mor,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6444.444444444444,0.0,0.0033333333333333335
15800000,1800,Other,4,1,0,0,1,0,1,1,1,1,1,0,0,1,1,6,8777.777777777777,0.42857142857142855,0.0022222222222222222
15400000,1500,Sector 6 Dwarka,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10266.666666666666,0.0,0.002
13500000,1800,Other,3,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,7500.0,0.07142857142857142,0.0016666666666666668
6500000,1000,Other,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6500.0,0.0,0.003
12500000,1300,Other,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9615.384615384615,0.0,0.0015384615384615385
11000000,1000,Other,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11000.0,0.0,0.003
12500000,1550,Sector 11 Dwarka,3,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,8064.5161290322585,0.0,0.001935483870967742
14800000,1800,Other,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8222.222222222223,0.0,0.0016666666666666668
12500000,600,Sector 12 Dwarka,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20833.333333333332,0.0,0.005
3300000,385,Other,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8571.42857142857,0.0,0.0025974025974025974
110000000,2500,Other,4,1,0,0,0,0,0,0,1,0,1,1,0,0,1,2,44000.0,0.14285714285714285,0.0016
5000000,1000,Dwarka Mor,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5000.0,0.0,0.003
17500000,1300,Other,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,13461.538461538461,0.0,0.002307692307692308
3600000,1050,Other,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3428.5714285714284,0.07142857142857142,0.002857142857142857
16500000,1600,Sector 6 Dwarka,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10312.5,0.0,0.001875
10500000,1200,Sector 10 Dwarka,2,1,0,0,1,1,0,1,1,1,1,0,0,1,1,3,8750.0,0.21428571428571427,0.0016666666666666668
6000000,1000,Uttam Nagar,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,6000.0,0.0,0.003
15000000,1350,Other,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11111.111111111111,0.0,0.0014814814814814814
2500000,435,Uttam Nagar,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5747.126436781609,0.07142857142857142,0.004597701149425287
5800000,900,Dwarka Mor,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6444.444444444444,0.0,0.0033333333333333335
15800000,1800,Other,4,1,0,0,1,0,1,1,1,1,1,0,0,1,1,6,8777.777777777777,0.42857142857142855,0.0022222222222222222
15400000,1500,Sector 6 Dwarka,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10266.666666666666,0.0,0.002
13500000,1800,Other,3,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,7500.0,0.07142857142857142,0.0016666666666666668
6500000,1000,Other,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6500.0,0.0,0.003
12500000,1300,Other,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9615.384615384615,0.0,0.0015384615384615385
11000000,1000,Other,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11000.0,0.0,0.003
12500000,1550,Sector 11 Dwarka,3,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,8064.5161290322585,0.0,0.001935483870967742
14800000,1800,Other,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8222.222222222223,0.0,0.0016666666666666668
12500000,600,Sector 12 Dwarka,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20833.333333333332,0.0,0.005
3300000,385,Other,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8571.42857142857,0.0,0.0025974025974025974
110000000,2500,Other,4,1,0,0,0,0,0,0,1,0,1,1,0,0,1,2,44000.0,0.14285714285714285,0.0016
5000000,1000,Dwarka Mor,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5000.0,0.0,0.003
17500000,1300,Other,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,13461.538461538461,0.0,0.002307692307692308
3600000,1050,Other,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3428.5714285714284,0.07142857142857142,0.002857142857142857
16500000,1600,Sector 6 Dwarka,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10312.5,0.0,0.001875
12500000,1000,Other,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12500.0,0.0,0.002
2750000,630,Jamia Nagar,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4365.079365079365,0.07142857142857142,0.0031746031746031746
23500000,2000,Sector 19 Dwarka,4,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,11750.0,0.0,0.002
16200000,1600,Sector 10 Dwarka,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10125.0,0.0,0.001875
13500000,1350,Other,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,10000.0,0.0,0.002962962962962963
5500000,1000,Uttam Nagar,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5500.0,0.07142857142857142,0.003
5500000,1000,Dwarka Mor,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5500.0,0.07142857142857142,0.003
3621000,900,Uttam Nagar,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023.3333333333335,0.0,0.0033333333333333335
9200000,1200,Other,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,7666.666666666667,0.0,0.0016666666666666668
10400000,1125,Other,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9244.444444444445,0.0,0.0026666666666666666
2350000,415,Other,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,5662.650602409639,0.07142857142857142,0.0024096385542168677
8000000,1500,Dwarka Mor,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5333.333333333333,0.0,0.0026666666666666666
3500000,675,Other,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5185.185185185185,0.0,0.0044444444444444444
14800000,1750,Other,3,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,8457.142857142857,0.0,0.0017142857142857142
8500000,1200,Dwarka Mor,4,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,7083.333333333333,0.0,0.0033333333333333335
17500000,1650,Vasant Kunj,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,10606.060606060606,0.07142857142857142,0.0018181818181818182
2700000,540,Dwarka Mor,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,5000.0,0.21428571428571427,0.003703703703703704
4999000,950,Dwarka Mor,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5262.105263157895,0.07142857142857142,0.003157894736842105
4699000,850,Dwarka Mor,3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5528.235294117647,0.0,0.0035294117647058825
3800000,450,Other,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8444.444444444445,0.0,0.0044444444444444444
15000000,1551,Other,2,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,9671.17988394584,0.0,0.0012894906511927789
3000000,650,Jamia Nagar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4615.384615384615,0.0,0.003076923076923077
5100000,900,Other,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5666.666666666667,0.0,0.0033333333333333335
2350000,550,Uttam Nagar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4272.727272727273,0.0,0.0036363636363636364
5499000,900,Dwarka Mor,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6110.0,0.0,0.0033333333333333335
12800000,1843,Other,3,0,1,0,0,0,1,1,1,1,0,0,0,1,1,8,6945.198046663049,0.5714285714285714,0.0016277807921866521
2500000,630,Other,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3968.253968253968,0.07142857142857142,0.0031746031746031746
27500000,3000,Sector 22 Dwarka,4,1,0,0,1,1,1,0,0,0,1,0,0,1,1,2,9166.666666666666,0.14285714285714285,0.0013333333333333333
3600000,675,Other,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5333.333333333333,0.0,0.002962962962962963
45000000,1300,Other,3,1,0,0,0,1,0,0,1,0,1,1,0,1,0,7,34615.38461538462,0.5,0.002307692307692308
5500000,1000,Uttam Nagar,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5500.0,0.0,0.003
5500000,900,Other,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6111.111111111111,0.0,0.0033333333333333335
16800000,1700,Sector 6 Dwarka,3,1,0,0,1,1,1,0,0,0,1,0,0,1,1,2,9882.35294117647,0.14285714285714285,0.0017647058823529412
3900000,900,Dwarka Mor,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4333.333333333333,0.0,0.0033333333333333335
