Price,Area,No._of_Bedrooms,Resale,LandscapedGardens,IndoorGames,Intercom,SportsFacility,ClubHouse,24X7Security,PowerBackup,CarParking,Gasconnection,AC,Wifi,Children'splayarea,LiftAvailable,Total_Amenities,Price_per_sqft,Amenity_Score,Bedroom_Density,Location_Burari,Location_Dwarka Mor,Location_Jamia Nagar,Location_Noida,Location_Om Nagar,Location_Other,Location_Sector 10 Dwarka,Location_Sector 11 Dwarka,Location_Sector 12 Dwarka,Location_Sector 19 Dwarka,Location_Sector 22 Dwarka,Location_Sector 4 Dwarka,Location_Sector 6 Dwarka,Location_Uttam Nagar,Location_Vasant Kunj
10500000,1200,2,1,0,0,1,1,0,1,1,1,1,0,0,1,1,3,8750.0,3,0.0016666666666666668,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
6000000,1000,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,6000.0,0,0.003,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
15000000,1350,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11111.111111111111,0,0.0014814814814814814,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2500000,435,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5747.126436781609,1,0.004597701149425287,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
5800000,900,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6444.444444444444,0,0.0033333333333333335,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
15800000,1800,4,1,0,0,1,0,1,1,1,1,1,0,0,1,1,6,8777.777777777777,6,0.0022222222222222222,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
15400000,1500,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10266.666666666666,0,0.002,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
13500000,1800,3,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,7500.0,1,0.0016666666666666668,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
6500000,1000,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6500.0,0,0.003,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
12500000,1300,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9615.384615384615,0,0.0015384615384615385,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
11000000,1000,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11000.0,0,0.003,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
12500000,1550,3,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,8064.5161290322585,0,0.001935483870967742,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
14800000,1800,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8222.222222222223,0,0.0016666666666666668,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
12500000,600,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20833.333333333332,0,0.005,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3300000,385,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8571.42857142857,0,0.0025974025974025974,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
110000000,2500,4,1,0,0,0,0,0,0,1,0,1,1,0,0,1,2,44000.0,2,0.0016,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
5000000,1000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5000.0,0,0.003,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
17500000,1300,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,13461.538461538461,0,0.002307692307692308,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3600000,1050,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3428.5714285714284,1,0.002857142857142857,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
16500000,1600,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10312.5,0,0.001875,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10500000,1200,2,1,0,0,1,1,0,1,1,1,1,0,0,1,1,3,8750.0,3,0.0016666666666666668,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
6000000,1000,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,6000.0,0,0.003,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
15000000,1350,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11111.111111111111,0,0.0014814814814814814,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2500000,435,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5747.126436781609,1,0.004597701149425287,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
5800000,900,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6444.444444444444,0,0.0033333333333333335,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
15800000,1800,4,1,0,0,1,0,1,1,1,1,1,0,0,1,1,6,8777.777777777777,6,0.0022222222222222222,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
15400000,1500,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10266.666666666666,0,0.002,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
13500000,1800,3,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,7500.0,1,0.0016666666666666668,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
6500000,1000,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6500.0,0,0.003,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
12500000,1300,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9615.384615384615,0,0.0015384615384615385,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
11000000,1000,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11000.0,0,0.003,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
12500000,1550,3,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,8064.5161290322585,0,0.001935483870967742,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
14800000,1800,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8222.222222222223,0,0.0016666666666666668,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
12500000,600,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20833.333333333332,0,0.005,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3300000,385,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8571.42857142857,0,0.0025974025974025974,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
110000000,2500,4,1,0,0,0,0,0,0,1,0,1,1,0,0,1,2,44000.0,2,0.0016,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
5000000,1000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5000.0,0,0.003,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
17500000,1300,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,13461.538461538461,0,0.002307692307692308,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3600000,1050,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3428.5714285714284,1,0.002857142857142857,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
16500000,1600,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10312.5,0,0.001875,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
12500000,1000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12500.0,0,0.002,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2750000,630,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4365.079365079365,1,0.0031746031746031746,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
23500000,2000,4,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,11750.0,0,0.002,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
16200000,1600,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10125.0,0,0.001875,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
13500000,1350,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,10000.0,0,0.002962962962962963,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
5500000,1000,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5500.0,1,0.003,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
5500000,1000,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5500.0,1,0.003,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3621000,900,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023.3333333333335,0,0.0033333333333333335,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
9200000,1200,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,7666.666666666667,0,0.0016666666666666668,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10400000,1125,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9244.444444444445,0,0.0026666666666666666,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2350000,415,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,5662.650602409639,1,0.0024096385542168677,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
